                        ORT    Lon    Lat  Dep  Nus  NuP  NuS    ADS   MDS  GAP  RMS  ERH  ERZ  MAG
2020-01-01T04:11:40.000000Z 52.462 35.671  5.3    7    7    7 114.43 56.30 None  0.0 None None  3.5
2020-01-01T04:13:20.000000Z 51.814 35.803  5.3   10   10   10 109.91 33.10 None  0.0 None None  5.0
2020-01-01T04:15:00.000000Z 51.938 36.363  7.2    8    8    8  88.14 36.80 None  0.0 None None  4.0
2020-01-01T04:16:40.000000Z 52.003 35.845 15.8    8    8    8  96.55 22.00 None  0.0 None None  4.0
2020-01-01T04:18:20.000000Z 52.139 35.866  7.4    6    6    6  92.02 21.60 None  0.0 None None  3.0
2020-01-01T04:20:00.000000Z 52.251 36.068 15.6    9    9    9  79.49 19.70 None  0.0 None None  4.5
2020-01-01T04:21:40.000000Z 52.311 35.852 15.2    8    8    8  92.34 32.50 None  0.0 None None  4.0
2020-01-01T04:23:20.000000Z 52.678 36.184 13.2    9    9    9  69.21 20.70 None  0.0 None None  4.5
2020-01-01T04:25:00.000000Z 52.146 35.989  8.3   10   10   10  84.48 11.60 None  0.0 None None  5.0
2020-01-01T04:26:40.000000Z 51.838 35.806 19.6    8    8    8 112.55 31.60 None  0.0 None None  4.0
2020-01-01T04:28:20.000000Z 51.970 35.822 17.0    5    5    5 136.12 99.60 None  0.0 None None  2.5
2020-01-01T04:30:00.000000Z 52.063 35.815 12.7    9    9    9 108.52 50.50 None  0.0 None None  4.5
2020-01-01T04:31:40.000000Z 52.139 36.214  8.3    5    5    5  44.20  7.28 None  0.0 None None  2.5
2020-01-01T04:33:20.000000Z 51.842 36.267 14.7    9    9    9  82.57 30.50 None  0.0 None None  4.5
2020-01-01T04:35:00.000000Z 51.947 36.258 10.9    5    5    5  65.46 22.80 None  0.0 None None  2.5
2020-01-01T04:36:40.000000Z 52.098 36.251 13.6    5    5    5  51.76 24.00 None  0.0 None None  2.5
2020-01-01T04:38:20.000000Z 51.777 35.976  9.8    6    6    6  76.67 24.40 None  0.0 None None  3.0
2020-01-01T04:40:00.000000Z 52.325 35.862 14.5    6    6    6 102.43 66.10 None  0.0 None None  3.0
2020-01-01T04:41:40.000000Z 51.544 35.566  5.9   10   10   10 141.34 68.90 None  0.0 None None  5.0
2020-01-01T04:43:20.000000Z 51.440 35.527  9.5    7    7    7 161.41 86.90 None  0.0 None None  3.5
2020-01-01T04:45:00.000000Z 51.908 36.286 19.5    7    7    7  90.39 26.50 None  0.0 None None  3.5
2020-01-01T04:46:40.000000Z 51.901 36.072 18.1    9    9    9  87.47 12.60 None  0.0 None None  4.5
2020-01-01T04:48:20.000000Z 51.975 36.002  9.6    7    7    7  90.09 34.70 None  0.0 None None  3.5
2020-01-01T04:50:00.000000Z 51.962 35.961 17.9    7    7    7  90.27 11.00 None  0.0 None None  3.5
2020-01-01T04:51:40.000000Z 52.103 35.737  9.7    5    5    5  83.40 34.30 None  0.0 None None  2.5
2020-01-01T04:53:20.000000Z 52.226 36.206 19.1    8    8    8  63.04  6.06 None  0.0 None None  4.0
2020-01-01T04:55:00.000000Z 51.956 36.180 16.2    5    5    5  74.18 52.20 None  0.0 None None  2.5
2020-01-01T04:56:40.000000Z 51.843 35.880 11.2    6    6    6  92.73 24.90 None  0.0 None None  3.0
2020-01-01T04:58:20.000000Z 52.035 35.957  8.8    5    5    5  72.35  9.25 None  0.0 None None  2.5
2020-01-01T05:00:00.000000Z 51.900 35.850  5.1    6    6    6  99.40 52.60 None  0.0 None None  3.0
2020-01-01T05:01:40.000000Z 51.875 36.210 18.2    6    6    6  99.50 23.70 None  0.0 None None  3.0
2020-01-01T05:03:20.000000Z 51.565 36.079  5.6    9    9    9 108.34 39.30 None  0.0 None None  4.5
2020-01-01T05:05:00.000000Z 51.947 36.163 17.3    8    8    8  92.26 25.00 None  0.0 None None  4.0
2020-01-01T05:06:40.000000Z 52.115 35.378 19.4    5    5    5 134.36 97.80 None  0.0 None None  2.5
2020-01-01T05:08:20.000000Z 52.131 36.073 13.6    7    7    7  95.00 53.80 None  0.0 None None  3.5
2020-01-01T05:10:00.000000Z 52.005 35.895  7.6    5    5    5  82.78 16.40 None  0.0 None None  2.5
2020-01-01T05:11:40.000000Z 52.191 35.908 18.0    7    7    7  80.03 20.40 None  0.0 None None  3.5
2020-01-01T05:13:20.000000Z 52.410 36.126 19.6    7    7    7  81.50 35.10 None  0.0 None None  3.5
2020-01-01T05:15:00.000000Z 52.478 35.824 15.6   10   10   10  94.80 46.60 None  0.0 None None  5.0
2020-01-01T05:16:40.000000Z 51.607 36.160 12.6    8    8    8 105.58 38.20 None  0.0 None None  4.0
2020-01-01T05:18:20.000000Z 52.191 36.008 10.7    5    5    5 100.56 76.20 None  0.0 None None  2.5
2020-01-01T05:20:00.000000Z 51.656 35.900 10.2    9    9    9 112.41 37.60 None  0.0 None None  4.5
2020-01-01T05:21:40.000000Z 52.138 35.959  8.1    7    7    7  92.81 13.00 None  0.0 None None  3.5
2020-01-01T05:23:20.000000Z 51.974 35.961 15.1    9    9    9  82.78 10.50 None  0.0 None None  4.5
2020-01-01T05:25:00.000000Z 51.791 35.881 11.5    9    9    9 105.13 28.30 None  0.0 None None  4.5
2020-01-01T05:26:40.000000Z 51.681 36.395  7.9    9    9    9  81.89 43.60 None  0.0 None None  4.5
2020-01-01T05:28:20.000000Z 51.894 36.107  6.6   10   10   10  86.61 14.70 None  0.0 None None  5.0
2020-01-01T05:30:00.000000Z 51.771 36.178 15.0    9    9    9  97.01 39.50 None  0.0 None None  4.5
2020-01-01T05:31:40.000000Z 51.581 36.206  9.4    5    5    5  98.66 44.80 None  0.0 None None  2.5
2020-01-01T05:33:20.000000Z 51.992 36.472 12.5    7    7    7  73.90 33.10 None  0.0 None None  3.5
2020-01-01T05:35:00.000000Z 51.708 36.017  9.9    5    5    5  92.22 29.60 None  0.0 None None  2.5
2020-01-01T05:36:40.000000Z 52.082 36.276 18.1    5    5    5  91.58 73.80 None  0.0 None None  2.5
2020-01-01T05:38:20.000000Z 51.905 36.019 18.5    8    8    8  83.06 11.90 None  0.0 None None  4.0
2020-01-01T05:40:00.000000Z 51.521 35.814  5.3    5    5    5 116.86 52.80 None  0.0 None None  2.5
2020-01-01T05:41:40.000000Z 52.101 36.247  8.0    8    8    8  70.14 23.60 None  0.0 None None  4.0
2020-01-01T05:43:20.000000Z 51.937 36.460  9.9    8    8    8  76.78 30.70 None  0.0 None None  4.0
2020-01-01T05:45:00.000000Z 52.394 35.986 19.8    5    5    5  76.72 34.60 None  0.0 None None  2.5
2020-01-01T05:46:40.000000Z 51.460 35.603 16.7    9    9    9 141.34 71.20 None  0.0 None None  4.5
2020-01-01T05:48:20.000000Z 51.826 36.250 10.1    7    7    7  83.56 33.70 None  0.0 None None  3.5
2020-01-01T05:50:00.000000Z 52.069 35.532  8.2    9    9    9 121.54 56.60 None  0.0 None None  4.5
2020-01-01T05:51:40.000000Z 51.949 36.361 15.1    8    8    8  72.06 25.40 None  0.0 None None  4.0
2020-01-01T05:53:20.000000Z 51.916 35.832 17.6    9    9    9 104.06 25.50 None  0.0 None None  4.5
2020-01-01T05:55:00.000000Z 52.459 36.012 19.0    8    8    8  86.42 35.80 None  0.0 None None  4.0
2020-01-01T05:56:40.000000Z 51.893 36.078 10.2    6    6    6  98.72 64.40 None  0.0 None None  3.0
2020-01-01T05:58:20.000000Z 52.004 35.904 18.2    9    9    9  96.03 15.40 None  0.0 None None  4.5
2020-01-01T06:00:00.000000Z 52.270 36.249 15.3    5    5    5  92.50 54.80 None  0.0 None None  2.5
2020-01-01T06:01:40.000000Z 52.188 35.977 12.3    6    6    6  71.58 15.50 None  0.0 None None  3.0
2020-01-01T06:03:20.000000Z 52.256 35.989 19.8    7    7    7 100.81 59.70 None  0.0 None None  3.5
2020-01-01T06:05:00.000000Z 52.104 36.231  8.5    7    7    7  74.74  9.08 None  0.0 None None  3.5
2020-01-01T06:06:40.000000Z 52.181 36.400 15.9   10   10   10  67.70 16.10 None  0.0 None None  5.0
2020-01-01T06:08:20.000000Z 52.101 35.623  6.3   10   10   10 116.03 46.70 None  0.0 None None  5.0
2020-01-01T06:10:00.000000Z 51.741 36.302  7.5    6    6    6  81.77 39.30 None  0.0 None None  3.0
2020-01-01T06:11:40.000000Z 51.926 36.086 18.7    5    5    5 101.34 61.80 None  0.0 None None  2.5
2020-01-01T06:13:20.000000Z 51.810 36.224  8.2    7    7    7  93.31 28.70 None  0.0 None None  3.5
2020-01-01T06:15:00.000000Z 51.914 36.326 16.4    5    5    5  69.82 33.50 None  0.0 None None  2.5
2020-01-01T06:16:40.000000Z 51.881 36.250 14.0   10   10   10  82.11 27.00 None  0.0 None None  5.0
2020-01-01T06:18:20.000000Z 52.151 35.838 17.6    8    8    8 105.84 46.60 None  0.0 None None  4.0
2020-01-01T06:20:00.000000Z 52.246 35.798 10.5    8    8    8 102.84 32.90 None  0.0 None None  4.0
2020-01-01T06:21:40.000000Z 51.816 36.161 10.1   10   10   10  88.37 23.80 None  0.0 None None  5.0
2020-01-01T06:23:20.000000Z 51.860 35.867  9.4    9    9    9 103.31 24.90 None  0.0 None None  4.5
2020-01-01T06:25:00.000000Z 51.923 35.776 18.0   10   10   10 107.78 31.00 None  0.0 None None  5.0
2020-01-01T06:26:40.000000Z 52.234 36.136 14.1    5    5    5 106.88 65.70 None  0.0 None None  2.5
2020-01-01T06:28:20.000000Z 51.984 35.976 19.3    7    7    7  75.68  8.54 None  0.0 None None  3.5
2020-01-01T06:30:00.000000Z 52.101 36.395 18.3   10   10   10  70.21 17.80 None  0.0 None None  5.0
2020-01-01T06:31:40.000000Z 52.195 35.886  7.0    7    7    7  96.46 41.10 None  0.0 None None  3.5
2020-01-01T06:33:20.000000Z 52.174 35.973 13.3    7    7    7  85.54 31.50 None  0.0 None None  3.5
2020-01-01T06:35:00.000000Z 51.956 36.417  6.6   10   10   10  76.02 28.30 None  0.0 None None  5.0
2020-01-01T06:36:40.000000Z 51.906 35.893  5.6    9    9    9  90.22 20.10 None  0.0 None None  4.5
2020-01-01T06:38:20.000000Z 51.563 35.686  6.1    7    7    7 128.63 58.00 None  0.0 None None  3.5
2020-01-01T06:40:00.000000Z 52.101 35.845 18.0    5    5    5  79.32 46.60 None  0.0 None None  2.5
2020-01-01T06:41:40.000000Z 52.115 35.751 16.8    9    9    9 106.23 33.00 None  0.0 None None  4.5
2020-01-01T06:43:20.000000Z 51.828 36.151 17.4   10   10   10  88.09 22.30 None  0.0 None None  5.0
2020-01-01T06:45:00.000000Z 52.327 36.132 10.1    7    7    7  75.90 17.80 None  0.0 None None  3.5
