                        ORT    Lon    Lat  Dep  Nus  NuP  NuS   MDS  GAP  RMS  ERH  ERZ  MAG
2020-01-01T00:31:40.000000Z 51.750 36.052 18.5    5    5    5 25.70 None  0.0 None None  2.5
2020-01-01T00:33:20.000000Z 52.371 36.166  5.5    9    9    9 33.30 None  0.0 None None  4.5
2020-01-01T00:35:00.000000Z 51.957 35.802  5.4    9    9    9 27.50 None  0.0 None None  4.5
2020-01-01T00:36:40.000000Z 51.833 36.378 13.1    5    5    5 35.70 None  0.0 None None  2.5
2020-01-01T00:38:20.000000Z 52.011 35.858 19.1    5    5    5 20.40 None  0.0 None None  2.5
2020-01-01T00:40:00.000000Z 52.043 36.470 10.7   10   10   10 27.40 None  0.0 None None  5.0
2020-01-01T00:41:40.000000Z 52.027 36.138  8.2    9    9    9 10.80 None  0.0 None None  4.5
2020-01-01T00:43:20.000000Z 52.067 35.921 11.3    7    7    7 39.10 None  0.0 None None  3.5
2020-01-01T00:45:00.000000Z 51.745 35.922  5.4    9    9    9 29.30 None  0.0 None None  4.5
2020-01-01T00:46:40.000000Z 51.953 36.131  8.3    9    9    9 12.40 None  0.0 None None  4.5
2020-01-01T00:48:20.000000Z 52.188 36.208 11.6    4    4    4  5.47 None  0.0 None None  2.0
2020-01-01T00:50:00.000000Z 52.064 36.198 12.4    8    8    8 13.90 None  0.0 None None  4.0
2020-01-01T00:51:40.000000Z 51.831 36.280  8.5    8    8    8 32.30 None  0.0 None None  4.0
2020-01-01T00:53:20.000000Z 52.115 35.933  8.5    4    4    4 13.90 None  0.0 None None  2.0
2020-01-01T00:55:00.000000Z 52.109 35.983  8.3    4    4    4 63.70 None  0.0 None None  2.0
2020-01-01T00:56:40.000000Z 52.253 36.340 11.9    8    8    8 10.40 None  0.0 None None  4.0
2020-01-01T00:58:20.000000Z 52.489 35.688  9.3    8    8    8 56.70 None  0.0 None None  4.0
2020-01-01T01:00:00.000000Z 51.677 35.887  5.3    8    8    8 36.50 None  0.0 None None  4.0
2020-01-01T01:01:40.000000Z 52.036 36.196 17.6    6    6    6 16.30 None  0.0 None None  3.0
2020-01-01T01:03:20.000000Z 52.071 35.548 13.3    9    9    9 54.80 None  0.0 None None  4.5
2020-01-01T01:05:00.000000Z 51.932 36.185 14.6    9    9    9 25.40 None  0.0 None None  4.5
2020-01-01T01:06:40.000000Z 52.051 36.170  7.8    5    5    5 60.50 None  0.0 None None  2.5
2020-01-01T01:08:20.000000Z 51.950 35.955 19.9    7    7    7 40.30 None  0.0 None None  3.5
2020-01-01T01:10:00.000000Z 52.042 36.092 17.9    7    7    7  5.67 None  0.0 None None  3.5
2020-01-01T01:11:40.000000Z 52.044 36.027  6.8    9    9    9 29.10 None  0.0 None None  4.5
2020-01-01T01:13:20.000000Z 51.850 36.084 10.0    4    4    4 17.40 None  0.0 None None  2.0
2020-01-01T01:15:00.000000Z 52.027 36.253 15.8    7    7    7 15.60 None  0.0 None None  3.5
2020-01-01T01:16:40.000000Z 52.268 36.041 15.7    6    6    6 21.00 None  0.0 None None  3.0
2020-01-01T01:18:20.000000Z 51.916 35.857 19.0    4    4    4 83.60 None  0.0 None None  2.0
2020-01-01T01:20:00.000000Z 52.095 36.017 11.3    6    6    6  5.97 None  0.0 None None  3.0
2020-01-01T01:21:40.000000Z 51.923 36.010 17.5    8    8    8 10.70 None  0.0 None None  4.0
2020-01-01T01:23:20.000000Z 51.861 36.156 15.1    4    4    4 60.10 None  0.0 None None  2.0
2020-01-01T01:25:00.000000Z 51.900 36.274  9.6    7    7    7 28.60 None  0.0 None None  3.5
2020-01-01T01:26:40.000000Z 52.090 36.133 13.8    5    5    5 16.90 None  0.0 None None  2.5
2020-01-01T01:28:20.000000Z 51.755 36.038 18.2    6    6    6 25.20 None  0.0 None None  3.0
2020-01-01T01:30:00.000000Z 52.166 35.787 17.7    8    8    8 30.60 None  0.0 None None  4.0
2020-01-01T01:31:40.000000Z 51.940 36.007 12.6    5    5    5  9.31 None  0.0 None None  2.5
2020-01-01T01:33:20.000000Z 51.693 36.070 13.8    4    4    4 49.50 None  0.0 None None  2.0
2020-01-01T01:35:00.000000Z 52.189 35.808  5.5   10   10   10 29.40 None  0.0 None None  5.0
2020-01-01T01:36:40.000000Z 52.078 35.707  8.6    4    4    4 93.80 None  0.0 None None  2.0
2020-01-01T01:38:20.000000Z 51.991 35.639 17.0    8    8    8 44.80 None  0.0 None None  4.0
2020-01-01T01:40:00.000000Z 52.251 36.091 11.2    5    5    5 18.80 None  0.0 None None  2.5
2020-01-01T01:41:40.000000Z 51.994 35.827  7.6    6    6    6 51.20 None  0.0 None None  3.0
2020-01-01T01:43:20.000000Z 52.285 36.440 13.2    7    7    7 11.10 None  0.0 None None  3.5
2020-01-01T01:45:00.000000Z 51.585 36.276 15.5    8    8    8 33.30 None  0.0 None None  4.0
2020-01-01T01:46:40.000000Z 52.364 36.076 15.1    7    7    7 29.90 None  0.0 None None  3.5
2020-01-01T01:48:20.000000Z 51.732 36.193 10.6    7    7    7 42.70 None  0.0 None None  3.5
2020-01-01T01:50:00.000000Z 51.960 35.865 11.6    7    7    7 20.70 None  0.0 None None  3.5
2020-01-01T01:51:40.000000Z 51.725 36.123 12.6    4    4    4 71.90 None  0.0 None None  2.0
2020-01-01T01:53:20.000000Z 52.177 35.861 16.7    4    4    4 23.80 None  0.0 None None  2.0
2020-01-01T01:55:00.000000Z 52.116 35.744 12.8    9    9    9 33.70 None  0.0 None None  4.5
2020-01-01T01:56:40.000000Z 52.179 36.010 10.9    9    9    9 13.40 None  0.0 None None  4.5
2020-01-01T01:58:20.000000Z 51.958 35.977 12.3    4    4    4  9.89 None  0.0 None None  2.0
2020-01-01T02:00:00.000000Z 52.194 36.168  5.4    6    6    6 61.80 None  0.0 None None  3.0
2020-01-01T02:01:40.000000Z 52.118 36.031  5.7    4    4    4  7.58 None  0.0 None None  2.0
2020-01-01T02:03:20.000000Z 52.017 36.138 15.6    6    6    6 10.90 None  0.0 None None  3.0
2020-01-01T02:05:00.000000Z 52.052 36.153 19.7   10   10   10 12.50 None  0.0 None None  5.0
2020-01-01T02:06:40.000000Z 51.931 35.456 13.9    7    7    7 65.60 None  0.0 None None  3.5
2020-01-01T02:08:20.000000Z 52.232 36.489 10.9    6    6    6 11.70 None  0.0 None None  3.0
2020-01-01T02:10:00.000000Z 52.099 35.978  7.6   10   10   10  9.06 None  0.0 None None  5.0
2020-01-01T02:11:40.000000Z 51.969 35.973 12.5   10   10   10  9.54 None  0.0 None None  5.0
2020-01-01T02:13:20.000000Z 52.004 35.749 19.7    5    5    5 32.50 None  0.0 None None  2.5
2020-01-01T02:15:00.000000Z 51.884 35.777 16.6    6    6    6 32.30 None  0.0 None None  3.0
2020-01-01T02:16:40.000000Z 52.056 35.934 13.1    8    8    8 12.00 None  0.0 None None  4.0
2020-01-01T02:18:20.000000Z 52.111 35.961 17.9    5    5    5 11.20 None  0.0 None None  2.5
2020-01-01T02:20:00.000000Z 52.221 36.048  8.5    7    7    7 16.70 None  0.0 None None  3.5
2020-01-01T02:21:40.000000Z 52.490 35.576 12.7    9    9    9 65.90 None  0.0 None None  4.5
2020-01-01T02:23:20.000000Z 51.855 36.202 19.3    5    5    5 31.60 None  0.0 None None  2.5
2020-01-01T02:25:00.000000Z 52.565 35.944 13.7   10   10   10 43.90 None  0.0 None None  5.0
2020-01-01T02:26:40.000000Z 52.010 35.949 11.9    5    5    5 70.70 None  0.0 None None  2.5
2020-01-01T02:28:20.000000Z 52.298 35.936  9.0    7    7    7 63.40 None  0.0 None None  3.5
2020-01-01T02:30:00.000000Z 52.152 35.928 13.2    4    4    4 16.30 None  0.0 None None  2.0
2020-01-01T02:31:40.000000Z 51.715 36.070 19.4    5    5    5 29.00 None  0.0 None None  2.5
2020-01-01T02:33:20.000000Z 52.113 36.289  5.1    4    4    4  8.71 None  0.0 None None  2.0
2020-01-01T02:35:00.000000Z 51.975 35.862 16.8    7    7    7 48.20 None  0.0 None None  3.5
2020-01-01T02:36:40.000000Z 52.126 36.054 17.3   10   10   10  8.30 None  0.0 None None  5.0
2020-01-01T02:38:20.000000Z 52.063 35.984 18.3    8    8    8 32.70 None  0.0 None None  4.0
2020-01-01T02:40:00.000000Z 52.259 36.083 16.1   10   10   10 20.00 None  0.0 None None  5.0
2020-01-01T02:41:40.000000Z 52.426 36.248 17.1    6    6    6 30.90 None  0.0 None None  3.0
2020-01-01T02:43:20.000000Z 52.147 35.636 12.8    5    5    5 46.00 None  0.0 None None  2.5
2020-01-01T02:45:00.000000Z 52.135 36.094 13.4    6    6    6 19.00 None  0.0 None None  3.0
2020-01-01T02:46:40.000000Z 52.181 36.234 11.4    7    7    7  3.06 None  0.0 None None  3.5
